count,host_original,host_sd,taxid,host_method
4,Sheep feces,Ovis aries,9940,context_cleaned_match
4,Chicken cloacal swab (Gallus gallus),Gallus gallus,9031,context_cleaned_match
4,Swine feces,Sus scrofa,9823,context_cleaned_match
4,Pig Special Project (Sampling of Livestock and Poultry Environment),Sus scrofa,9823,context_cleaned_match
4,cow sheep milk cheese,Bos taurus,9913,context_cleaned_match
4,fish gut; co-assembled from multi-host: Triplophysa bleekeri;Pseudorasbora parva;Triplophysa daqiaoensis;Homatula variegata;Abbottina rivularis;Schizothorax davidi;Paramisgurnus dabryanus;Claea dabryi;Triplophysa stoliczkai;Misgurnus anguillicaudatus,Actinopterygii,7898,context_broad_dictionary
4,fish gut; co-assembled from multi-host: Percocypris pingi;Hemiculterella sauvagei;Rhinogobius similis;Discogobio yunnanensis;Pseudogyrinocheilus prochilus;Glyptothorax fokiensis;Hemiculter leucisculus,Actinopterygii,7898,context_broad_dictionary
4,Pig (nursery) - fecal,Sus scrofa,9823,context_cleaned_match
4,feces from giant panda,panda,212257,context_broad_dictionary
4,sour goat milk,Capra hircus,9925,context_cleaned_match
4,catfish Homogenized Tissue Dillution,Siluriformes,7997,context_broad_dictionary
4,adult red blood cells,Homo sapiens,9606,context_dictionary
4,individual cow milk,Bos taurus,9913,context_cleaned_match
4,Sea sponge tissue,Porifera,6040,context_broad_dictionary
4,fish gut,Actinopterygii,7898,context_broad_dictionary
4,enriched culture from Antartic soil contaminated with penguin feces,Spheniscidae,9231,context_broad_dictionary
4,Fecal samples from slaughtered sheep,Ovis aries,9940,context_cleaned_match
4,goat milk from farm,Capra hircus,9925,context_cleaned_match
4,"strawberry, ragi, and rice with milk cereal",Oryza sativa,4530,context_cleaned_match
4,milk-based infant and baby foods,Homo sapiens,9606,context_dictionary
4,Water from fish tank,Actinopterygii,7898,context_broad_dictionary
4,poultry feces,Aves,8782,context_broad_dictionary
4,the intestinal contents of Marmot,Marmota,9992,context_broad_dictionary
3,water source from yak farm,Bos grunniens,30521,context_cleaned_match
3,Turtle water,Testudines,8459,context_broad_dictionary
3,porcine feces,Sus scrofa,9823,context_cleaned_match
3,Chicken - Boot swab,Gallus gallus,9031,context_cleaned_match
3,Duck faeces,Anas platyrhynchos,8839,context_cleaned_match
3,intestinal contents of broiler,Gallus gallus,9031,context_cleaned_match
3,sheep shelter feces,Ovis aries,9940,context_cleaned_match
3,calf feces,Bos taurus,9913,context_dictionary
3,chick bedding sample,Gallus gallus,9031,context_broad_dictionary
3,equine hospital environmental,Equus caballus,9796,context_cleaned_match
3,cow manure (Bos primigenius),Bos taurus,9913,context_cleaned_match
3,equine feces (Equus ferus caballus),Equus caballus,9796,context_cleaned_match
3,chicken evisceration tank water (Gallus gallus),Gallus gallus,9031,context_cleaned_match
3,Human Feces,Homo sapiens,9606,context_cleaned_match
3,cloacal swab live duck,Anas platyrhynchos,8839,context_cleaned_match
3,poultry water,Aves,8782,context_broad_dictionary
3,"Animal clinical, bovine feces",Bos taurus,9913,context_cleaned_match
3,livestock feces (cattle),Mammalia,40674,context_broad_dictionary
3,External surface of flies,Diptera,7147,context_broad_dictionary
3,Human urine sample,Homo sapiens,9606,context_cleaned_match
3,poultry caceal sample,Aves,8782,context_broad_dictionary
3,pig ceacal sample,Sus scrofa,9823,context_cleaned_match
3,Sheep manure,Ovis aries,9940,context_cleaned_match
3,Hand swab from chicken handler,Gallus gallus,9031,context_cleaned_match
3,Human biopsy,Homo sapiens,9606,context_cleaned_match
3,Feline urine,Felis catus,9685,context_cleaned_match
3,cattle manure with soil,Bos taurus,9913,context_cleaned_match
3,retail raw whole goat milk,Capra hircus,9925,context_cleaned_match
3,soil bird dropping manure,Aves,8782,context_broad_dictionary
3,feces goose branta,Anser anser,8843,context_cleaned_match
3,feces duck,Anas platyrhynchos,8839,context_cleaned_match
3,raw whole milk cow,Bos taurus,9913,context_cleaned_match
3,Whole fish sold as Asian bighead carp; Surface swab,Actinopterygii,7898,context_broad_dictionary
3,camel milk,Camelus dromedarius,9838,context_cleaned_match
3,yak milk,Bos grunniens,30521,context_cleaned_match
3,sheep gut metagenome,Ovis aries,9940,context_cleaned_match
3,chicken fecal material,Gallus gallus,9031,context_cleaned_match
3,Poultry meat,Aves,8782,broad_dictionary
3,Camel milk,Camelus dromedarius,9838,context_cleaned_match
3,Pig (body surface),Sus scrofa,9823,context_dictionary
3,canine skin swab,Canis lupus familiaris,9615,context_cleaned_match
3,human fecal sample,Homo sapiens,9606,context_cleaned_match
3,bulk-tank raw milk of sheep farms,Ovis aries,9940,context_cleaned_match
3,raw cow milk hard cheese,Bos taurus,9913,context_cleaned_match
3,animal nasal swab,Metazoa,33208,context_broad_dictionary
3,Chicken manure,Gallus gallus,9031,context_cleaned_match
3,Raw cow milk,Bos taurus,9913,context_cleaned_match
3,ground water from background well at DOE's FRC site at Oak Ridge,Quercus,3511,context_broad_dictionary
3,animals feces,Metazoa,33208,context_broad_dictionary
3,Cleopatra sp. freshwater snail feces,Gastropoda,6448,context_broad_dictionary
3,adult mosquito gut,Homo sapiens,9606,context_dictionary
3,pigeon farm environment,Columba livia,8932,context_cleaned_match
3,Dromedary milk,Camelus dromedarius,9838,context_cleaned_match
3,Fermented camel milk,Camelus dromedarius,9838,context_cleaned_match
3,Fermented goat milk,Capra hircus,9925,context_cleaned_match
3,fish gut; co-assembled from multi-host: Ancherythroculter kurematsui;Megalobrama pellegrini;Rhinogobio cylindricus;Coreius guichenoti;Rhinogobio ventralis;Xenophysogobio boulengeri;Squalidus wolterstorffi;Hemiculter bleekeri;Ancherythroculter nigrocauda;Chanodichthys mongolicus;Chanodichthys dabryi;Rhinogobius similis;Liobagrus marginatoides;Tachysurus eupogon,Actinopterygii,7898,context_broad_dictionary
3,Bird feces(Common Greenshank),Aves,8782,context_broad_dictionary
3,"Water/River, Aquatic Animal, Water",Metazoa,33208,context_broad_dictionary
3,the gut of abalone,Haliotis,6452,context_broad_dictionary
3,Araca mangrove water,Viridiplantae,33090,context_broad_dictionary
3,Bacteria pure culture,Bacteria,2,context_dictionary
3,"compost was generated exclusively from plant-based material, recycled equine manure in composters enriched with California worms (Eisenia foetida).",Equus caballus,9796,context_cleaned_match
3,Bos taurus feces,Bos taurus,9913,context_cleaned_match
3,Human clinical sample,Homo sapiens,9606,context_cleaned_match
3,fish gut; co-assembled from multi-host: Barbodes semifasciolatus;Rasbora steineri;Sinibrama melrosei;Culter alburnus;Oreochromis niloticus;Pseudobagrus tenuifurcatus;Carassius auratus,Oreochromis niloticus,8128,context_cleaned_match
3,Termite Gut,Termitoidae,1912919,context_broad_dictionary
3,human stool sample,Homo sapiens,9606,context_cleaned_match
3,Feces of healthy 3-month-old male infants,Homo sapiens,9606,context_dictionary
3,a nose swab sample of swine origin,Sus scrofa,9823,context_cleaned_match
3,Blood Cockle (Internal),Cardiidae,6547,context_broad_dictionary
3,clinical sample from human,Homo sapiens,9606,context_cleaned_match
3,infant faecal,Homo sapiens,9606,context_dictionary
3,Cabbage kimchi inoculated with MRS-enriched fecal LAB,Brassica oleracea,3712,context_broad_dictionary
3,fish gut; co-assembled from multi-host: Leiocassis longirostris;Culter alburnus;Hemiculter tchangi;Ancherythroculter wangi;Tachysurus nitidus;Siniperca knerii;Myxocyprinus asiaticus;Pseudolaubuca sinensis;Pseudobrama simoni;Hypophthalmichthys nobilis;Hypophthalmichthys molitrix;Megalobrama amblycephala;Chanodichthys dabryi;Ancherythroculter nigrocauda;Coreius heterodon;Coreius guichenoti;Gnathopogon imberbis;Siniperca chuatsi;Liobagrus nigricauda;Rhinogobius similis;Silurus meridionalis,Actinopterygii,7898,context_broad_dictionary
3,Goat raw milk Plardon,Capra hircus,9925,context_cleaned_match
3,"Early seed surface sterilization rinse, including the placenta and fruit pulp tissues",Viridiplantae,33090,context_broad_dictionary
3,Apodemus sylvaticus Tissue Culture,apodemus,10128,context_broad_dictionary
3,camel milk products,Camelus dromedarius,9838,context_cleaned_match
3,"5 liters of water from the Tucurui Power Plant Reservoir, point M5 collected 50cm beneath the lake surface, then filtered by negative pressure for posterior culture in BG-11 medium",Viridiplantae,33090,context_broad_dictionary
3,milk powder manufacturing plant,Viridiplantae,33090,context_broad_dictionary
3,fish gut; co-assembled from multi-host: Silurus asotus;Schizothorax sinensis;Belligobio nummifer;Cobitis sinensis;Homatula potanini,Actinopterygii,7898,context_broad_dictionary
3,fish gut; co-assembled from multi-host: Procypris rabaudi;Onychostoma simum;Siniperca knerii,Actinopterygii,7898,context_broad_dictionary
3,Alexandrium ostenfeldii (Culture KO287),Alexandrium ostenfeldii,40986,dictionary
3,elephant manure,Elephantidae,9780,context_broad_dictionary
2,fresh feces from backyard birds,Aves,8782,context_broad_dictionary
2,ANIMAL STOOL,Metazoa,33208,context_broad_dictionary
2,Chicken Feces,Gallus gallus,9031,context_cleaned_match
2,Fish (Food),Actinopterygii,7898,context_broad_dictionary
2,goat's milk cheese,Capra hircus,9925,context_cleaned_match
2,Cow manure,Bos taurus,9913,context_cleaned_match
2,livestock manure,Mammalia,40674,context_broad_dictionary
2,Swab from Broiler shed,Gallus gallus,9031,context_cleaned_match
2,Retail raw cow milk,Bos taurus,9913,context_cleaned_match
2,chicken bedding sample,Gallus gallus,9031,context_cleaned_match
2,water with snail shell,Gastropoda,6448,context_broad_dictionary
2,feces bovine,Bos taurus,9913,context_cleaned_match
2,corn snake cage swab,Zea mays,4577,context_cleaned_match
2,sprout water alfalfa,Medicago sativa,3879,context_cleaned_match
2,pond water applied to tomato plant,Solanum lycopersicum,4081,context_cleaned_match
2,Poultry Water,Aves,8782,context_broad_dictionary
2,whole fresh water goby fish,Actinopterygii,7898,context_broad_dictionary
2,environmental turtle tank,Testudines,8459,context_broad_dictionary
2,turkey house lairage swab,Meleagris gallopavo,9103,context_cleaned_match
2,turkey house feeder swab,Meleagris gallopavo,9103,context_cleaned_match
2,Cloacal swab from turkey breeder farm,Meleagris gallopavo,9103,context_cleaned_match
2,Human (urine),Homo sapiens,9606,context_dictionary
2,environmental-chicken,Gallus gallus,9031,context_cleaned_match
2,water from well used for irrigation of alfalfa sprout,Medicago sativa,3879,context_cleaned_match
2,equine environment,Equus caballus,9796,context_cleaned_match
2,avian water,Aves,8782,context_broad_dictionary
2,environmental feline,Felis catus,9685,context_cleaned_match
2,swine farm truck swab,Sus scrofa,9823,context_cleaned_match
2,swine lairage swab,Sus scrofa,9823,context_cleaned_match
2,spent irrigation water from alfalfa sprout,Medicago sativa,3879,context_cleaned_match
2,Piglet feces,Sus scrofa,9823,context_broad_dictionary
2,Cattle (Miced meat),Bos taurus,9913,context_dictionary
2,"Animal non-clinical, bovine feces",Bos taurus,9913,context_cleaned_match
2,Cattle swab,Bos taurus,9913,context_cleaned_match
2,Turkey swab,Meleagris gallopavo,9103,context_cleaned_match
2,kite (cloacal swab),Milvus,43517,context_broad_dictionary
2,"Environment, poultry farm",Aves,8782,context_broad_dictionary
2,Beef Cattle Feces - Rectal Grab,Bos taurus,9913,context_cleaned_match
2,Cow milk from retailer,Bos taurus,9913,context_cleaned_match
2,Waterfowl manure,Anseriformes,8826,context_broad_dictionary
2,"Faecal sample from Lumholtz's tree kangaroo, Dendrolagus lumholtzi",Macropodidae,9307,context_broad_dictionary
2,retail raw skim milk cow,Bos taurus,9913,context_cleaned_match
2,Cattle fecal matter,Bos taurus,9913,context_cleaned_match
2,Fecal sample from a deer,Cervidae,9850,context_broad_dictionary
2,cow pasture fecal,Bos taurus,9913,context_cleaned_match
2,sheep lairage swab,Ovis aries,9940,context_cleaned_match
2,Chicken slaughterhouse splitting water,Gallus gallus,9031,context_cleaned_match
2,chicken house manure pile,Gallus gallus,9031,context_cleaned_match
2,Bird feces in calf shed,Bos taurus,9913,context_dictionary
2,Yak feces,Bos grunniens,30521,context_cleaned_match
2,Healthy human (stool),Homo sapiens,9606,context_cleaned_match
2,"Bovine (bobby calf, fecal)",Bos taurus,9913,context_dictionary
2,healthy human stool samples,Homo sapiens,9606,context_cleaned_match
2,bovine fecal sample,Bos taurus,9913,context_cleaned_match
2,tissue and/or biological fluid swine,Sus scrofa,9823,context_cleaned_match
2,feces seagull,Laridae,8910,context_broad_dictionary
2,cattle fecal,Bos taurus,9913,context_cleaned_match
2,alpaca feces,Vicugna pacos,30538,context_cleaned_match
2,a anal swab sample of swine origin,Sus scrofa,9823,context_cleaned_match
2,canine tissue,Canis lupus familiaris,9615,context_cleaned_match
2,Chicken blood (Gallus gallus),Gallus gallus,9031,context_cleaned_match
2,meat duck,Anas platyrhynchos,8839,cleaned_match
2,feces market swine (Sus scrofa),Sus scrofa,9823,context_cleaned_match
2,feces beef cow (Bos taurus),Bos taurus,9913,context_cleaned_match
2,steer feces (Bos taurus),Bos taurus,9913,context_dictionary
2,"stool of a child hospitalized at icddr,b hospital in Dhaka",Homo sapiens,9606,context_dictionary
2,Raw milk-bovine,Bos taurus,9913,context_cleaned_match
2,Canine Stool,Canis lupus familiaris,9615,context_cleaned_match
2,Chicken fecal material,Gallus gallus,9031,context_cleaned_match
2,turkey offal or meat,Meleagris gallopavo,9103,cleaned_match
2,"Cow, fecal",Bos taurus,9913,context_cleaned_match
2,"Human, fecal",Homo sapiens,9606,context_cleaned_match
2,Layer chicken feces from Layer poultry farm using intensive farming (indoor),Gallus gallus,9031,context_cleaned_match
2,Pig farm environment,Sus scrofa,9823,context_cleaned_match
2,canine mouth swab,Canis lupus familiaris,9615,context_cleaned_match
2,swine nasal swab,Sus scrofa,9823,context_cleaned_match
2,Raw cow's milk,Bos taurus,9913,context_cleaned_match
2,Duck cloacal swab,Anas platyrhynchos,8839,context_cleaned_match
2,Chicken feces from layer chicken farm,Gallus gallus,9031,context_cleaned_match
2,Animal manure,Metazoa,33208,context_broad_dictionary
2,Korean infant feces,Homo sapiens,9606,context_dictionary
2,mice gut,Murinae,39107,context_broad_dictionary
2,Chicken feces,Gallus gallus,9031,cleaned_match
2,giant panda feces,panda,212257,context_broad_dictionary
2,feces cattle (Bos taurus),Bos taurus,9913,context_cleaned_match
2,raw cow milk vermeer hard cheese,Bos taurus,9913,context_cleaned_match
2,Human milk,Homo sapiens,9606,context_dictionary
2,environment corn silage,Zea mays,4577,context_cleaned_match
2,cow goat raw milk cheese,Bos taurus,9913,context_cleaned_match
2,raw milk bovine,Bos taurus,9913,context_cleaned_match
2,pasteurized cow milk cheese,Bos taurus,9913,context_cleaned_match
2,Bat fecal droppings,Chiroptera,9397,context_broad_dictionary
2,Leaf surface of Northern white-cedar (Thuja occidentalis) from Eastern Canada,Thuja occidentalis,3317,context_broad_dictionary
2,"spoiled, untreated cow's milk",Bos taurus,9913,context_cleaned_match
2,surface-sterilized wheat seeds,Triticum aestivum,4565,context_cleaned_match
2,"Water line, poultry barn",Aves,8782,context_broad_dictionary
2,"Environment, poultry barn",Aves,8782,context_broad_dictionary
2,"Faecal sample from Red kangaroo, Osphranter rufus",Macropodidae,9307,context_broad_dictionary
2,Dairy cattle manure,Bos taurus,9913,context_cleaned_match
2,chicken fecal,Gallus gallus,9031,context_cleaned_match
2,Pig (grower) - fecal,Sus scrofa,9823,context_cleaned_match
2,Livestock manure,Mammalia,40674,context_broad_dictionary
2,feces of a diseased cow,Bos taurus,9913,context_cleaned_match
2,poultry meat,Aves,8782,broad_dictionary
2,Yak milk,Bos grunniens,30521,context_cleaned_match
2,Fermented cattle milk,Bos taurus,9913,context_cleaned_match
2,swab samples of pig,Sus scrofa,9823,context_cleaned_match
2,Avian Environment,Aves,8782,context_broad_dictionary
2,fish gut; co-assembled from multi-host: Ctenopharyngodon idella;Silurus meridionalis;Carassius auratus;Ameiurus nebulosus;Hemiculter tchangi;Hemibarbus maculatus;Luciobarbus capito,Actinopterygii,7898,context_broad_dictionary
2,salt water crab tank,Brachyura,6752,context_broad_dictionary
2,Eel tank water,Anguilliformes,7933,context_broad_dictionary
2,mouse intestinal villus cells,Mus musculus,10090,context_cleaned_match
2,insect gut,Insecta,50557,context_broad_dictionary
2,Rabbit feces,Oryctolagus cuniculus,9986,context_cleaned_match
2,Arabidopsis thaliana seedling from surface sterilized seed,Arabidopsis thaliana,3702,context_cleaned_match
2,Insect gut,Insecta,50557,context_broad_dictionary
2,220 cm below water surface of man-made lake,Homo sapiens,9606,context_cleaned_match
2,"Tissue, animal",Metazoa,33208,context_broad_dictionary
2,Milk from the udder of a cow with mastitis,Bos taurus,9913,context_cleaned_match
2,Fish gut,Actinopterygii,7898,context_broad_dictionary
2,pure culture bacteria,Bacteria,2,context_dictionary
2,pure bacteria culture,Bacteria,2,context_dictionary
2,plant root sample,Viridiplantae,33090,context_broad_dictionary
2,Sheep Milk,Ovis aries,9940,context_cleaned_match
2,sheep milk from farm,Ovis aries,9940,context_cleaned_match
2,infant gut microbiota,Homo sapiens,9606,context_dictionary
2,Feces of healthy 12 day male infants,Homo sapiens,9606,context_dictionary
2,lake water cyanobacterial bloom contaminated with bovine manure,Bos taurus,9913,context_cleaned_match
2,"bat, faeces",Chiroptera,9397,context_broad_dictionary
2,Traditional Fermented Yak Milk,Bos grunniens,30521,context_cleaned_match
2,rat (gut),Rattus norvegicus,10116,context_dictionary
2,American Alligator's water tank,alligator,8495,context_broad_dictionary
2,Sewage from swine farm,Sus scrofa,9823,context_cleaned_match
2,"wheat, apple, and banana with milk cereal",Malus domestica,3750,context_cleaned_match
2,"banana, ragi, and rice with milk cereal",Oryza sativa,4530,context_cleaned_match
2,"mango, rago, and rice with milk cereal",Oryza sativa,4530,context_cleaned_match
2,"mango, ragi, and rice with milk cereal",Oryza sativa,4530,context_cleaned_match
2,fish gut; co-assembled from multi-host: Siniperca knerii;Onychostoma simum;Leptobotia elongata;Procypris rabaudi,Actinopterygii,7898,context_broad_dictionary
2,feces of 3-year-old healthy male child,Homo sapiens,9606,context_dictionary
2,Plant sample,Viridiplantae,33090,context_broad_dictionary
2,Goat milk cheese,Capra hircus,9925,context_cleaned_match
2,Outdoor water tank from infected fish farm,Actinopterygii,7898,context_broad_dictionary
2,Canis lupus familiaris feces,Canis lupus,9612,context_cleaned_match
2,Fresh equine feces,Equus caballus,9796,context_cleaned_match
2,bacteria cells (from culture that grew from a isolated colony),Bacteria,2,context_broad_dictionary
2,Pure culture of Gram (+) bacteria,Bacteria,2,context_dictionary
2,breast milk from healthy nursing mother,Homo sapiens,9606,context_dictionary
2,sheep milk,Ovis aries,9940,context_cleaned_match
2,"human with endocarditis, blood",Homo sapiens,9606,context_cleaned_match
2,Human fecal sample,Homo sapiens,9606,context_cleaned_match
2,Blueberry fermentation broth,Vaccinium,13749,context_broad_dictionary
2,faecal of marmot,Marmota,9992,context_broad_dictionary
2,goat cheese (raw milk),Capra hircus,9925,context_cleaned_match
2,raw cow's milk,Bos taurus,9913,context_cleaned_match
2,Sphagnum peat bog gray layer sample,Sphagnum,13804,context_broad_dictionary
2,Pantholops hodgsonii feces,Pantholops hodgsonii,59538,context_cleaned_match
2,Diarrheic Human Stool,Homo sapiens,9606,context_cleaned_match
2,Healthy Human Stool,Homo sapiens,9606,context_cleaned_match
2,water poultry,Aves,8782,broad_dictionary
2,livestock manure compost,Mammalia,40674,broad_dictionary
2,Blood - animal United Kingdom,Metazoa,33208,context_broad_dictionary
2,fish gut; co-assembled from multi-host: Silurus asotus;Liobagrus marginatus;Hypophthalmichthys nobilis;Rhinogobius cliffordpopei;Glyptothorax sinensis;Cyprinus carpio;Culter alburnus,Actinopterygii,7898,context_broad_dictionary
2,crocodile pond water,Crocodylia,8500,context_broad_dictionary
2,Adult Bee Gut,Homo sapiens,9606,context_dictionary
2,a piece of sunken bamboo in the marine environment,Bambuseae,147376,context_broad_dictionary
2,sour yak milk,Bos grunniens,30521,context_cleaned_match
2,Ulva culture,ulva,3118,context_broad_dictionary
2,Pure culture of Bacteria,Bacteria,2,context_dictionary
2,Adult flesh fly mid gut,Homo sapiens,9606,context_dictionary
2,Kelp sample,Phaeophyceae,2870,context_broad_dictionary
2,feces of mice,Murinae,39107,context_broad_dictionary
2,single cell amplified by MDA; termite gut,Termitoidae,1912919,context_broad_dictionary
1,"Poultry, fresh feces",Aves,8782,context_broad_dictionary
1,"""Water, sheep area""",Ovis aries,9940,context_cleaned_match
1,Environmental-turtle tank water,Testudines,8459,context_broad_dictionary
1,Chicken rectal swab,Gallus gallus,9031,context_cleaned_match
1,OTHER ;TURTLE WATER,Testudines,8459,context_broad_dictionary
1,OTHER ;TURTLE B SWAB,Testudines,8459,context_broad_dictionary
1,Poultry-Environmental,Aves,8782,context_broad_dictionary
1,OTHER ;TURTLE A SWAB,Testudines,8459,context_broad_dictionary
1,farm B1 of integrated broiler supply chain (Drag swab),Gallus gallus,9031,context_cleaned_match
1,farm B2 of integrated broiler supply chain (Drag swab-5),Gallus gallus,9031,context_cleaned_match
1,farm B2 of integrated broiler supply chain (Drag swab-4),Gallus gallus,9031,context_cleaned_match
1,farm B2 of integrated broiler supply chain (Drag swab-3),Gallus gallus,9031,context_cleaned_match
1,farm B2 of integrated broiler supply chain (Drag swab-6),Gallus gallus,9031,context_cleaned_match
1,farm B2 of integrated broiler supply chain (Drag swab-2),Gallus gallus,9031,context_cleaned_match
1,cecal feces of duck slaughterhouse B,Anas platyrhynchos,8839,context_cleaned_match
1,farm A2 of integrated broiler supply chain (Drag swab),Gallus gallus,9031,context_cleaned_match
1,farm B2 of integrated broiler supply chain (Drag swab-1),Gallus gallus,9031,context_cleaned_match
1,water snake,Serpentes,8570,broad_dictionary
1,Ovine (Fecal),Ovis aries,9940,context_dictionary
1,Cat (Fecal),Felis catus,9685,context_dictionary
1,Ostrich (Fecal),ostrich,8801,context_dictionary
1,Trawl swab of 27-day-old poultry litter,Aves,8782,context_broad_dictionary
1,Trawl swab of 26-day-old poultry litter,Aves,8782,context_broad_dictionary
1,Canine faeces,Canis lupus familiaris,9615,context_cleaned_match
1,Avian faecal - Swab,Aves,8782,context_broad_dictionary
1,Duck - Environmental house swab,Anas platyrhynchos,8839,context_cleaned_match
1,Porcine necropsy - Swab,Sus scrofa,9823,context_cleaned_match
1,Ovine Small intestinal contents- clinical sample,Ovis aries,9940,context_cleaned_match
1,Snake faeces,Serpentes,8570,context_broad_dictionary
1,Chicken slaughterhouse environment,Gallus gallus,9031,context_cleaned_match
1,poultry fecal,Aves,8782,context_broad_dictionary
1,broiler farm boot swab,Gallus gallus,9031,context_cleaned_match
1,broiler environment - boot sock,Gallus gallus,9031,context_cleaned_match
1,turkey environment - boot swab,Meleagris gallopavo,9103,context_cleaned_match
1,Broiler feces from crates,Gallus gallus,9031,context_cleaned_match
1,Fresh water fish Catla catla,Actinopterygii,7898,context_broad_dictionary
1,BEARDED DRAGON FECES,Pogona vitticeps,103695,context_broad_dictionary
