count,host_original
11,Antho dichotoma
4,saffron finche
4,D. marginatus
3,Perognathus penicillatus
3,Carpobrotus rossii
3,Oryctes gigas
3,"Crasosstrea spp., Farfantepenaeus spp."
3,Trididemnum orbiculatum
3,lilac
3,Discodermia calyx
2,Beilhmielda manni
2,seabass
2,Sugar cane
2,Dercitus (Stoeba) latex
2,Aphidus ervi
2,horsechestnut
2,Hazel
2,Diestrammena coreana
2,rhodolith
2,zoanthid Palythoa caribaeorum
2,Bombax costatum
2,black gobi
2,Averhoa belimbi
2,bracket mold
2,Lasioglossum apopkense
2,Neopsylla setosa
2,Capsella sp.
2,B. oleracea var. rubra
2,E. vesicaria ssp. sativa
2,Suidae sp. LYD
2,Nasonia sp. VxG hybrid
2,Stichoplastoris elusinus
2,Olallieberry
2,Sainfoin
2,Crabapple
2,Caraganae sp.
2,Ocimum lamiifolium
2,Allomyria dichotoma
2,wangyaru
2,grasses
2,marine ciliate
2,Haliclonissa verrucosa (sponge)
2,Lissodendoryx nobilis
2,Anoxycalyx joubini
2,Hyacint
2,Siphamia cephalotes
2,N. makaihe
2,N. ponapona
2,N. sp. 246
2,N. kanawao
2,N. sp. 15
2,N. sp. 48
2,N. sp. 242
2,N. sp. 58
2,N. sp. 21
2,N. sp. 17
2,N. sp. 126
2,N. sp. 29
2,N. sp. 23
2,N. haleakala
2,N. sp. 281
2,N. sp. 302
2,N. ogradyi
2,N. sp. 295
2,Q. agrifolia x Q. wislizeni
2,Picochlorum sp. 122
2,Amphilectus digitatus
2,Jiuqu
2,B. minor
1,toucan
1,Partridge
1,eared grebe
1,Pelicanus rufescens
1,Others -Heterodon platrhinos
1,cetacean
1,Otis tarde
1,anatine
1,Focha andina
1,weever
1,Hawk
1,Soy
1,Agamid
1,opposum
1,Lampine
1,albatros
1,waterbird
1,Basunti mas
1,Tinamu major
1,Lyonycteris spurrelli
1,Buffonidae sp
1,Sula nebouxi
1,Marmosa camescens
1,South american tapirus terrestris
1,night heron
1,capercailie grouse
1,stork
1,heron
1,macaw
1,Abyssinian ground hornbill
1,soldier
1,slender-horned gazella
1,Cockatoo sp.
1,House martin
1,Dunnock
1,Superb Starling
1,Garlic bolt
1,Pakchoi
1,White-Breasted Nuthatch
1,Hainan
1,Sichuan
1,Shanxi
1,wood-wren
1,Bluefox
1,Neonates
1,Epalzeothynchos frenatum
1,wild rabbits
1,"Bootsock, Great Harewood"
1,snipe
1,Red tailed hawk
1,White radish
1,Weever
1,marter
1,partridge
1,Cloudrat
1,GuineaPig
1,Desmodium pulchellum
1,roe buck
1,wild chukar
1,Maoctra Veneriformis
1,Anopheline albitarsis
1,straw
1,Padding
1,Lemuroidea
1,sprouted soy
1,gander
1,red cocoyam
1,Sangiovese
1,Ortrugo
1,olive
1,Geophilidae_myriapod
1,swallow
1,olive knot (Olea europaea)
1,hime-yuzuriha
1,Persicae
1,ciliate
1,Mullberry
1,Barberry
1,Chinese chive
1,Rapeseed
1,reed
1,nature
1,Landolita
1,Winterberry holly
1,ferr living
1,Phyton sp.
1,Pullet carpet shell
1,BSFL
1,red-billed woodhoopoe
1,Bedding
1,cockatoo
1,Cuttloefish
1,Akashiwo sangruia
1,diseased yellow croaker
1,Others -Oxycirrhites typus
1,cage-cultured red drum
1,Scleritoderma cyanea
1,flumen aquae
1,Hipocampus ingens (seahorse)
1,shirasu
1,Giant seaperch
1,Corbicula aurea
1,mudfish
1,Vibriosis affected Asian seabass (Lates calcarifer) fingerling
1,longicorn
1,Contoneaster amiguus
1,GROUNDNUT
1,Tabaco
1,Honeysuckle
1,Guang Chen Pi
1,Ephistia cautella
1,budworm
1,Ephestia (Aphomia) qularis
1,smooth vetch
1,Thai silk cocoon
1,Sanqi
1,ivy
1,chili
1,silk worm litter
1,Paramyelois transitella
1,casava
1,Vectobac
1,wheatgrass
1,chinese okra
1,invertebrates
1,F21Forl
1,M422A2
1,peony
1,M21Kner
1,Tryonyx sinensis (Chinese soft-shell turtle)
1,wenyujin
1,honeysuckle
1,Chinese chives
1,Amitermes hastatus
1,LEPM 108
1,Fritillariae Cirrhosae
1,Streptomyes sp.HNM0140
1,Justicia subcoriacea
1,Salp sp.
1,O. stricta
1,Xestosponiga sp. QYP07 (sponge)
1,Xestospongia sp. SYM12 (sponge)
1,Axinellida sp. (marine sponge)
1,M43Fcsw
1,M43Plmr
1,F34Frhd
1,Cyanobacterium Lyngbya cf. aestuarii
1,Lissodendoryx diversichela
1,Brasillia sp.
1,Ursidae sp.
1,M41Glns
1,Orchid
1,Saurania reinwardti
1,aquatic mosses
1,slime mold
1,C57BL/6J
1,tenophyllus hirticrus
1,Siberian jerboa (Allactagasibirica)
1,Ctenophthalmus orientalis
1,Citellus musticus
1,Pallasiomys meridianus
1,Haemophisalus
1,Coleophora tesquorum
1,Ctenophthalmus teres
1,Paradoxopsyllus scorodumovi
1,Blandfordimys juldaschi carruthersi
1,Citellus fulvus
1,Stiralius aporus rectodigitus
1,Amphisylla
1,Lagria grenieri
1,boxwood
1,gingsen
1,Concentrated platelets mixture
1,Concentrated platelets mixture -Preservative solution
1,Concentrated platelets mixture-Preservative solution
1,Vibernum davidii
1,Crape Myrtle
1,Sinapsis avensis
1,Rhynchosiae phaseoloides
1,Nightshade (Solanum nigrum)
1,Latuca sp.
1,Linaria sp.
1,Cucurbit
1,Orizae sativa L.
1,mexican lime
1,Greek oregano
1,B. oleracea var. alba
1,B. oleracea var. sabauda
1,Ipomea obscura
1,"""Ipomoea aquatic"""
1,Crambe sp.
1,brolier
1,pasture gramineae
1,M32Plmr
1,scrub2
1,bath1b
1,scrub1a
1,bath1a
1,Borellia bruneri
1,sika
1,S.paradoxus
1,Boraras naevus
1,Fungi2_78
1,Fungi2_8
1,Fungi2_81
1,Minipig
1,Pelican
1,M22Ewxr
1,Cichlid
1,Sf1EP
1,P024V1
1,Saffron
1,Pumpkin
1,Chili
1,Porqupine
1,African spoonbiil
1,Dune Marsh Elder Iva imbricata
1,Porphyla
1,vetch
1,Chamaecytisus albus
1,Berseem
1,CSIR-IHBT
1,Birch
1,Lilac
1,chestnut
1,Maple
1,Leobordea pulchra
1,Rhynchosia totta
1,Desmonium incanum
1,Leobordea lanceolata
1,Phaecochoerus aethipicus
1,BREEDER
1,Nippon ibis
1,Isolated from cauliflower
1,Melobium obcordatum
1,sugar cane YZ08-1095
1,Guar pulse
1,Crategus cuneata
1,Helconica sp.
1,Rhizoma kaempferiae
1,sesame seedling
1,small cardamom
1,Photos sp.
1,chiehqua
1,Carrageenan
1,Costelytra giveni
1,Three-lined grunt (Parapristipoma trilineatum)
1,Malawi cichlid (Auloncara maleri)
1,H. concina
1,D. daghestanicus
1,D. dagistanicus
1,H. Concina
1,Marten
1,16S52
1,Canthopagrus schlegeli
1,Mephitiade sp.
1,Weasel
1,Rhodococcus
1,F34Tong
1,Mineral hydromagnesite
1,Amphiblestrum auritum
1,Periwinkle
1,Polyalae radix
1,Holothurian
1,Haliclonissa verrucosa
1,Class Hexactinellida
1,USA:New York
1,I. ricinus
1,Cottonwood
1,Peony
1,Russian Sage
1,P.falciparum
1,Psychotria schumanniana
1,Pigeonpea
1,Adelaide Rosella
1,shorebird
1,Parrotbill
1,fulmars
1,Xinjiang nor
1,Fungi63
1,dhalia
1,Iris sp.
1,fig
1,Duli
1,weaned Rex rabbits
1,Diestrammena coreana (camel cricket)
1,Craugastor taurus
1,Guinea multimammate
1,Porphyrae yezoensis (red alga)
1,comb pen shell
1,Tomate
1,Ryegrass
1,16S90
1,gosling
1,Chinese silvergrass
1,Mantidactylus aff. curtus 19
1,Rostrolucina anterorostrata
1,Troendleina suluensis
1,Ustalcina ferruginea
1,"Myrtea sp. ""scaly one"" KF741663"
1,16S67
1,PROTEOBACTERIA-BETA
1,Alydus tomentosus
1,marine invertebrate
1,forage rape
1,millet
1,mustard
1,Marantha leuconeura
1,Fungi2_98
1,Westrigia fruticosa
1,Olive
1,Verdot sp.
1,Pinot Noir
1,Chambourcin sp.
1,Merlot sp.
1,Plantanus sp.
1,jujube
1,Luffae sp.
1,periwinkle
1,Hamacantha esperioides
1,hyacinth
1,CBA
1,invertebrate
1,fermented foods Jiaosu
1,pumpkin
1,string beans
1,capricorn
1,Steirnernema unicornum
1,frass
1,Cicadidae sp. C
1,Leptosemia sp. G
1,Meenoplinae sp.
1,N. maratima
1,N. montium
1,Fetuca
1,Ridgea piscesae
1,C. elegans
1,Anoecia oenotherae
1,Penares incrustans
1,Sevilla affinis
1,Pomace
1,Nephrolepsis exaltata
1,green alga
1,OCEAN
1,Green spruce
1,putative tunicate
1,Acanthaphora specifera
1,NewZealand rabbits
1,Planarians flatworm
1,Calytrix glaberrima
1,raccoondog
1,tellus
1,white elm
1,Pumkin
1,Danica
1,Fungi2_90
1,tubeworm trophosome
1,Sebdenia dichotoma
1,Fungi3
1,white pelican
1,Marine invertebrate
1,Anaerameoba flamelloides Busselton2
1,Ananeramoeba flamelloides Schooner1
1,Amata sperbius
1,Parachiridia subirrorata
1,wild orchid
1,Wohrlfartia sp.
1,Callysponga elegans
1,Decaying wood
1,Aulonothroscus sp. AUS03
1,Enveronmental
1,Comscasia
1,eastern boxelder
1,Empoasca mexicana
1,Ulvan
1,Picochloruma sp. 122
1,O. sativa
1,culturing pond
1,orchids
1,bromeliads
1,A. swainsoni
1,vine
1,Spirastrella abata
1,Haliclona perlucida
1,Crypticerya_multicicatrices
1,Lucinoma atalantae
1,ostracean
1,red marine alga
1,lichens
1,M64Tong
1,Kestrel
1,Porities sp.
