source_column,original_value,destination,proposed_value,confidence,decision,reason
Environment (Broad Scale),biofilm,Environment_Medium_SD,biofilm,high,apply,safe
Environment (Local Scale),desert surface envo 01001020 subsurface soil envo 00005791,Environment_Medium_SD,soil,high,apply,safe
Environment (Local Scale),air,Environment_Medium_SD,air,high,apply,safe
Isolation Source,cattle fecal sample,Sample_Type_SD,feces/stool,high,apply,safe
Host Disease,other aquatic animals,Sample_Type_SD,metadata descriptor/non-source,high,skip,metadata/admin descriptor should not become Sample_Type_SD
Host Disease,meningococcal disease,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Host Disease,respiratory tract disease,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Isolation Source,feces of healthy 3 month old male infants,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Site,sewage,Environment_Medium_SD,sewage,high,apply,safe
Environment Medium,feces from baby,Sample_Type_SD,feces/stool,high,apply,safe
Environment Medium,human feces,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,blood from melioidosis patient,Sample_Type_SD,blood,high,apply,safe
Host Disease,blood,Sample_Type_SD,blood,high,apply,safe
Isolation Source,adult patient with underlying chronic lung disease,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Host Disease,screening,Sample_Type_SD,surveillance sample,medium,skip,confidence is not high
Host Disease,other,Sample_Type_SD,metadata descriptor/non-source,high,skip,metadata/admin descriptor should not become Sample_Type_SD
Environment Medium,catheterized bladder urine,Sample_Type_SD,urine,high,apply,safe
Environment Medium,infant feces,Sample_Type_SD,feces/stool,high,apply,safe
Environment (Local Scale),catheterized urine,Sample_Type_SD,urine,high,apply,safe
Environment (Local Scale),quality control table,Host_Health_State_SD,healthy/no disease reported,medium,skip,confidence is not high
Host Disease,moyamoya disease,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Host Disease,hemiplegia due to cerebrovascular disease,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Environment Medium,human feces,Sample_Type_SD,feces/stool,high,apply,safe
Environment Medium,nasal swab,Sample_Type_SD,nasal swab,high,apply,safe
Environment (Local Scale),hydrothermal vents sediment,Environment_Medium_SD,sediment,high,apply,safe
Isolation Source,sputum sample from patient with lung infection,Sample_Type_SD,sputum,high,apply,safe
Environment (Local Scale),field envo 01000352 upland soil envo 000005786,Environment_Medium_SD,soil,high,apply,safe
Environment (Local Scale),8 km downstream of halberstadt wastewater treatment plant,Environment_Medium_SD,wastewater,high,apply,safe
Environment (Local Scale),sewage treatment plant,Environment_Medium_SD,sewage,high,apply,safe
Environment (Local Scale),permafrost ancient soil northeast siberian kolyma,Environment_Medium_SD,soil,high,apply,safe
Environment Medium,fecal samples of indri,Sample_Type_SD,feces/stool,high,apply,safe
Environment (Local Scale),soil degradation envo 01000705,Environment_Medium_SD,soil,high,apply,safe
Environment (Local Scale),soil fauna,Environment_Medium_SD,soil,high,apply,safe
Environment Medium,healthy phenotype,Host_Health_State_SD,healthy/no disease reported,medium,skip,confidence is not high
Environment (Local Scale),bottom soil,Environment_Medium_SD,soil,high,apply,safe
Environment (Local Scale),faecal environment envo 01001029,Sample_Type_SD,feces/stool,high,apply,safe
Environment (Local Scale),waste contaminated soil,Environment_Medium_SD,soil,high,apply,safe
Environment (Local Scale),saline soil,Environment_Medium_SD,soil,high,apply,safe
Environment (Local Scale),disturbed soil,Environment_Medium_SD,soil,high,apply,safe
Environment (Local Scale),arsenic enriched soil,Environment_Medium_SD,soil,high,apply,safe
Environment (Local Scale),brackish sediment,Environment_Medium_SD,sediment,high,apply,safe
Environment (Local Scale),surface seawater,Environment_Medium_SD,seawater,high,apply,safe
Environment (Local Scale),rhizosphere envo 00005801,Environment_Medium_SD,soil,high,apply,safe
Environment (Local Scale),creek sediment,Environment_Medium_SD,sediment,high,apply,safe
Environment (Local Scale),8 km downstream of wernigerode silstedt wastewater treatment plant,Environment_Medium_SD,wastewater,high,apply,safe
Environment (Local Scale),surface soil,Environment_Medium_SD,soil,high,apply,safe
Isolation Site,lake washington sediment,Environment_Medium_SD,sediment,high,apply,safe
Environment (Local Scale),crude oil contaminated soil,Environment_Medium_SD,soil,high,apply,safe
Environment (Local Scale),sewage treatment plant,Environment_Medium_SD,sewage,high,apply,safe
Isolation Site,sea water sample,Environment_Medium_SD,seawater,high,apply,safe
Environment (Local Scale),terraced surface where peaty soil has formed over cliff rock,Environment_Medium_SD,soil,high,apply,safe
Environment Medium,mature fine tailings from oil sands tailings pond,Environment_Medium_SD,pond water,high,apply,safe
Environment (Local Scale),deep marine sediment envo 00002113,Environment_Medium_SD,sediment,high,apply,safe
Environment (Local Scale),mangrove sediment,Environment_Medium_SD,sediment,high,apply,safe
Environment (Local Scale),area of barren land envo 01000752 bare soil envo 01001616,Environment_Medium_SD,soil,high,apply,safe
Environment (Local Scale),granitic desert soil,Environment_Medium_SD,soil,high,apply,safe
Environment Medium,blood envo 02000027,Sample_Type_SD,blood,high,apply,safe
Environment (Local Scale),contaminated soil contaminated water,Environment_Medium_SD,soil,high,apply,safe
Isolation Site,sakinaw lake,Environment_Medium_SD,lake water,high,apply,safe
Environment (Local Scale),rhizosphere of pinus,Environment_Medium_SD,soil,high,apply,safe
Environment (Local Scale),marine solar saltern sediment,Environment_Medium_SD,sediment,high,apply,safe
Environment (Local Scale),marine sediment envo 03000033 bay envo 00000032,Environment_Medium_SD,sediment,high,apply,safe
Isolation Source,food brone disease patient,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Isolation Source,swine urine,Sample_Type_SD,urine,high,apply,safe
Isolation Source,sick pig,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Isolation Source,swine soil,Environment_Medium_SD,soil,high,apply,safe
Isolation Source,feces from bloody feces of infected patient,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,urine community acquired human infection outpatient clinic,Sample_Type_SD,urine,high,apply,safe
Isolation Source,swine feces,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,cattle fecal matter,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,cow pasture fecal,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,sick pig lung,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Isolation Source,healthy human,Host_Health_State_SD,healthy/no disease reported,medium,skip,confidence is not high
Isolation Source,soil from swine farming environment,Environment_Medium_SD,soil,high,apply,safe
Isolation Source,fecal steer,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,healthy human stool samples,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,human feces of different individuals,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,urine sample from patient with pyelonephritis,Sample_Type_SD,urine,high,apply,safe
Isolation Source,cattle fecal,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,bovine cow blood,Sample_Type_SD,blood,high,apply,safe
Isolation Source,swine faeces,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,chicken blood,Sample_Type_SD,blood,high,apply,safe
Isolation Source,sick chicken lung,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Isolation Source,feces market swine,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,steer feces,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,fecal sample from patient,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,human disease,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Isolation Source,lung of a diseased pig,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Environment (Broad Scale),blood host,Sample_Type_SD,blood,high,apply,safe
Isolation Source,human stool swab,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,chicken fecal material,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,cow fecal,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,human fecal,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,blood sample from patient with bacteremia,Sample_Type_SD,blood,high,apply,safe
Isolation Source,blood from patient,Sample_Type_SD,blood,high,apply,safe
Isolation Source,blood from patient with septicemia,Sample_Type_SD,blood,high,apply,safe
Isolation Source,patient urine,Sample_Type_SD,urine,high,apply,safe
Isolation Source,blood culture from a patient in a burn unit,Sample_Type_SD,blood,high,apply,safe
Isolation Source,patient urine,Sample_Type_SD,urine,high,apply,safe
Isolation Source,sputum from patient from coronary care unit,Sample_Type_SD,sputum,high,apply,safe
Isolation Source,feces cattle,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,blood from 86 year old patient,Sample_Type_SD,blood,high,apply,safe
Isolation Source,human associated habitat urine,Sample_Type_SD,urine,high,apply,safe
Isolation Source,chicken blood fed lab reared aedes aegypti mosquito,Sample_Type_SD,blood,high,apply,safe
Isolation Source,feces from mastitis cow,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,patient urine,Sample_Type_SD,urine,high,apply,safe
Isolation Source,blood sample from hospitalized patient 2,Sample_Type_SD,blood,high,apply,safe
Isolation Source,chicken fecal,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,pig fecal,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,feces of a diseased cow,Sample_Type_SD,feces/stool,high,apply,safe
Environment (Local Scale),wastewater sludge sewer sludge,Environment_Medium_SD,sludge,high,apply,safe
Environment (Local Scale),wastewater treatment plant effluents,Environment_Medium_SD,wastewater,high,apply,safe
Environment (Local Scale),paddy soil,Environment_Medium_SD,soil,high,apply,safe
Environment (Local Scale),envo soil,Environment_Medium_SD,soil,high,apply,safe
Host Disease,pathogen fecal carriage,Sample_Type_SD,feces/stool,high,skip,Host Disease value is not a clear specimen material
Host Disease,urogenital disease,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Isolation Source,fecal sample from chicken,Sample_Type_SD,feces/stool,high,apply,safe
Sample Type,cassava wastewater,Environment_Medium_SD,wastewater,high,apply,safe
Environment (Local Scale),soil envo 00002007,Environment_Medium_SD,soil,high,apply,safe
Environment (Local Scale),soil beneath apple trees growing in garden,Environment_Medium_SD,soil,high,apply,safe
Environment (Local Scale),petroleum polluted soil,Environment_Medium_SD,soil,high,apply,safe
Environment (Local Scale),air sampler,Environment_Medium_SD,air,high,apply,safe
Environment (Local Scale),pig faeces,Sample_Type_SD,feces/stool,high,apply,safe
Environment (Local Scale),tea plant soil,Environment_Medium_SD,soil,high,apply,safe
Environment (Local Scale),sunflower rhizosphere soil,Environment_Medium_SD,soil,high,apply,safe
Environment (Local Scale),desert soil,Environment_Medium_SD,soil,high,apply,safe
Environment (Local Scale),hypersaline soil,Environment_Medium_SD,soil,high,apply,safe
Environment (Local Scale),geothermal soil,Environment_Medium_SD,soil,high,apply,safe
Environment (Local Scale),wastewater treatment plants in seville,Environment_Medium_SD,wastewater,high,apply,safe
Isolation Site,marine sediment,Environment_Medium_SD,sediment,high,apply,safe
Environment Medium,lake envo 00000020,Environment_Medium_SD,lake water,high,apply,safe
Environment (Local Scale),nearshore sediment,Environment_Medium_SD,sediment,high,apply,safe
Environment (Local Scale),costal sediment,Environment_Medium_SD,sediment,high,apply,safe
Environment (Local Scale),deep sea water,Environment_Medium_SD,seawater,high,apply,safe
Environment (Local Scale),surface soil,Environment_Medium_SD,soil,high,apply,safe
Isolation Source,patient 8 stool,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,patient 9 stool,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,healthy chicken intestine,Host_Health_State_SD,healthy/no disease reported,medium,skip,confidence is not high
Isolation Source,healthy human feces,Sample_Type_SD,feces/stool,high,apply,safe
Environment Medium,fecal sample extract in 12.5 glycerol and 0.9 nacl,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,sputum of a patient with pulmonary disease,Sample_Type_SD,sputum,high,apply,safe
Isolation Source,sputum from a patient infected with tuberculosis,Sample_Type_SD,sputum,high,apply,safe
Isolation Source,sputum sample from patient with tuberculosis,Sample_Type_SD,sputum,high,apply,safe
Isolation Source,sputum of patient with mycobacteriosis,Sample_Type_SD,sputum,high,apply,safe
Host Disease,mac disease,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Host Disease,bacterial disease,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Environment (Local Scale),air scrubber 1,Environment_Medium_SD,air,high,apply,safe
Isolation Source,feces of healthy 12 day male infants,Sample_Type_SD,feces/stool,high,apply,safe
Environment Medium,stool sample,Sample_Type_SD,feces/stool,high,apply,safe
Environment Medium,infant stool,Sample_Type_SD,feces/stool,high,apply,safe
Environment Medium,fecal material envo 00002013,Sample_Type_SD,feces/stool,high,apply,safe
Host Disease,seeds other,Sample_Type_SD,metadata descriptor/non-source,high,skip,metadata/admin descriptor should not become Sample_Type_SD
Isolation Source,sputum sample of melioidosis patient,Sample_Type_SD,sputum,high,apply,safe
Isolation Source,sputum isolated from a patient with a primary melioidosis infection,Sample_Type_SD,sputum,high,apply,safe
Isolation Source,sputum from non cf patient,Sample_Type_SD,sputum,high,apply,safe
Isolation Source,blood from melioidosis patient,Sample_Type_SD,blood,high,apply,safe
Environment Medium,cystic fibrosis sputum,Sample_Type_SD,sputum,high,apply,safe
Environment (Local Scale),water processor assembly,Sample_Type_SD,metadata descriptor/non-source,high,skip,metadata/admin descriptor should not become Sample_Type_SD
Environment (Local Scale),the rhizosphere,Environment_Medium_SD,soil,high,apply,safe
Environment (Local Scale),waste water treatment plant,Environment_Medium_SD,wastewater,high,apply,safe
Host Disease,invasive disease,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Host Disease,chronic suppurative lung disease,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Environment (Local Scale),raw sewage,Environment_Medium_SD,sewage,high,apply,safe
Host Disease,chronic kidney disease,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Host Disease,end stage liver disease,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Sample Type,diseased field leaf,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Environment (Local Scale),sludge,Environment_Medium_SD,sludge,high,apply,safe
Host Disease,black rot disease,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Host Disease,leaf scald disease,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Environment (Broad Scale),human faeces,Sample_Type_SD,feces/stool,high,apply,safe
Environment Medium,urine sample,Sample_Type_SD,urine,high,apply,safe
Host Health State,general department icu,Isolation_Source_SD,healthcare facility,high,apply,safe
Isolation Source,human blood culture,Sample_Type_SD,blood,high,apply,safe
Isolation Source,blood of a patient with bacteraemia of unknown origin,Sample_Type_SD,blood,high,apply,safe
Isolation Site,saline soil,Environment_Medium_SD,soil,high,apply,safe
Environment (Local Scale),soil beneath apple trees growing in cultivated orchard,Environment_Medium_SD,soil,high,apply,safe
Host Disease,respiratory disease,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Host Disease,multi ingredient other seeds,Sample_Type_SD,metadata descriptor/non-source,high,skip,metadata/admin descriptor should not become Sample_Type_SD
Host Disease,other,Sample_Type_SD,metadata descriptor/non-source,high,skip,metadata/admin descriptor should not become Sample_Type_SD
Host Disease,environmental other animal,Sample_Type_SD,metadata descriptor/non-source,high,skip,metadata/admin descriptor should not become Sample_Type_SD
Host Disease,nasopharynx of a respiratory disease,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Isolation Source,sputum of a patient with lung infections,Sample_Type_SD,sputum,high,apply,safe
Host Disease,skin disease,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Host Disease,cystocentesis urine,Sample_Type_SD,urine,high,apply,safe
Isolation Site,farmland soil,Environment_Medium_SD,soil,high,apply,safe
Environment (Local Scale),urine sample,Sample_Type_SD,urine,high,apply,safe
Environment (Local Scale),loam soil,Environment_Medium_SD,soil,high,apply,safe
Isolation Source,human adult fecal sample,Sample_Type_SD,feces/stool,high,apply,safe
Environment Medium,swine feces,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,diseased cattle,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Host Disease,lewy body disease,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Environment (Local Scale),fecal environment envo 01001029,Sample_Type_SD,feces/stool,high,apply,safe
Environment (Local Scale),sandy loam soil,Environment_Medium_SD,soil,high,apply,safe
Host Disease,corn decline disease,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Host Disease,banana blood disease,Sample_Type_SD,blood,high,apply,safe
Host Disease,ralstonia wilt disease,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Isolation Source,human with endocarditis blood,Sample_Type_SD,blood,high,apply,safe
Isolation Site,sewage sludge compost,Environment_Medium_SD,sludge,high,apply,safe
Sample Type,wastewater treatment plants,Environment_Medium_SD,wastewater,high,apply,safe
Environment (Local Scale),intestine environment envo 2100002 fecal environment envo 01001029,Sample_Type_SD,feces/stool,high,apply,safe
Environment (Broad Scale),patient blood,Sample_Type_SD,blood,high,apply,safe
Environment (Local Scale),contaminated soil,Environment_Medium_SD,soil,high,apply,safe
Host Disease,glassers disease,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Environment Medium,envo feces,Sample_Type_SD,feces/stool,high,apply,safe
Environment (Local Scale),forest soil summer south korea,Environment_Medium_SD,soil,high,apply,safe
Environment Medium,human blood,Sample_Type_SD,blood,high,apply,safe
Environment (Local Scale),silty clay loam soil,Environment_Medium_SD,soil,high,apply,safe
Environment (Local Scale),bulk soil,Environment_Medium_SD,soil,high,apply,safe
Environment (Local Scale),rhizospheric soil biome,Environment_Medium_SD,soil,high,apply,safe
Isolation Site,freshwater lake,Environment_Medium_SD,lake water,high,apply,safe
Environment (Local Scale),soil with traces of petroleum hydrocarbons,Environment_Medium_SD,soil,high,apply,safe
Environment (Local Scale),pah contaminated soil sample from a bitumen factory,Environment_Medium_SD,soil,high,apply,safe
Isolation Site,sediment freshwater minnesota,Environment_Medium_SD,sediment,high,apply,safe
Isolation Source,female pig fecal storage tank,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,diarrheic human stool,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,healthy human stool,Sample_Type_SD,feces/stool,high,apply,safe
Environment Medium,diseased stem of tobacco,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Environment (Local Scale),rhizosphere 5ppm,Environment_Medium_SD,soil,high,apply,safe
Environment (Local Scale),seawater,Environment_Medium_SD,seawater,high,apply,safe
Environment (Local Scale),air conditioner condensate pipe,Environment_Medium_SD,air,high,apply,safe
Environment Medium,crow feces,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,feces from a healthy human,Sample_Type_SD,feces/stool,high,apply,safe
Environment Medium,cow faeces,Sample_Type_SD,feces/stool,high,apply,safe
Environment Medium,feces from a healthy human,Sample_Type_SD,feces/stool,high,apply,safe
Environment (Broad Scale),healthy cow,Host_Health_State_SD,healthy/no disease reported,medium,skip,confidence is not high
Environment (Local Scale),field vole blood,Sample_Type_SD,blood,high,apply,safe
Sample Type,lake,Environment_Medium_SD,lake water,high,apply,safe
Environment (Local Scale),rhizosphere zone,Environment_Medium_SD,soil,high,apply,safe
Environment Medium,feces of naemorhedus caudatus,Sample_Type_SD,feces/stool,high,apply,safe
Environment (Local Scale),park soil,Environment_Medium_SD,soil,high,apply,safe
Environment Medium,balf,Sample_Type_SD,bronchoalveolar lavage fluid,high,apply,safe
Environment (Local Scale),marine sediment envo 00002154,Environment_Medium_SD,sediment,high,apply,safe
Environment (Local Scale),forestry envo 01001432 soil envo 00002003,Environment_Medium_SD,soil,high,apply,safe
Environment (Local Scale),bare soil envo 01001616,Environment_Medium_SD,soil,high,apply,safe
Environment (Local Scale),five humified soil samples,Environment_Medium_SD,soil,high,apply,safe
Environment Medium,human sputum,Sample_Type_SD,sputum,high,apply,safe
Environment (Broad Scale),human sputum,Sample_Type_SD,sputum,high,apply,safe
Environment (Local Scale),human sputum,Sample_Type_SD,sputum,high,apply,safe
Environment (Local Scale),gypsiferous soil,Environment_Medium_SD,soil,high,apply,safe
Isolation Site,air sample,Environment_Medium_SD,air,high,apply,safe
Isolation Site,soil sonoran desert usa arizona,Environment_Medium_SD,soil,high,apply,safe
Isolation Site,vineyard soil,Environment_Medium_SD,soil,high,apply,safe
Sample Type,control,Host_Health_State_SD,healthy/no disease reported,medium,skip,confidence is not high
Environment (Local Scale),soil rhizosphere,Environment_Medium_SD,soil,high,apply,safe
Environment Medium,urine,Sample_Type_SD,urine,high,apply,safe
Isolation Site,sediment saltwater isolation date september 23 2001,Environment_Medium_SD,sediment,high,apply,safe
Environment Medium,nasopharyngeal swab,Sample_Type_SD,nasopharyngeal swab,high,apply,safe
