source_column,original_value,destination,proposed_value,confidence,decision,reason
Environment (Local Scale),wastewater treatment plant,Environment_Medium_SD,wastewater,high,apply,safe
Isolation Site,saline alkaline soil,Environment_Medium_SD,soil,high,apply,safe
Environment (Local Scale),ex landfill soil,Environment_Medium_SD,soil,high,apply,safe
Environment (Local Scale),jpl spacecraft assembly facility,Sample_Type_SD,metadata descriptor/non-source,high,skip,metadata/admin descriptor should not become Sample_Type_SD
Host Disease,hemorrhagic disease,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Isolation Site,soda lake sediment,Environment_Medium_SD,sediment,high,apply,safe
Environment (Local Scale),freshwater sediment,Environment_Medium_SD,sediment,high,apply,safe
Environment (Local Scale),meadow soil,Environment_Medium_SD,soil,high,apply,safe
Host Disease,borrelia miyamotoi disease,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Environment Medium,microbial mat floating in the lake,Environment_Medium_SD,lake water,high,apply,safe
Isolation Site,biological soil crusts,Environment_Medium_SD,soil,high,apply,safe
Environment (Local Scale),organohalide contaminated sediment,Environment_Medium_SD,sediment,high,apply,safe
Environment (Local Scale),soil env0 01001044,Environment_Medium_SD,soil,high,apply,safe
Isolation Site,marine sediment beside whale carcasses isolation date september 2003,Environment_Medium_SD,sediment,high,apply,safe
Environment (Local Scale),deep trench amphipod associated and seawater,Environment_Medium_SD,seawater,high,apply,safe
Isolation Site,marine biofilm on stainless steel electrode from genoa harbour italy,Environment_Medium_SD,biofilm,high,apply,safe
Environment (Local Scale),microbial feature envo 01000007 biofilm envo 00002034 sulphate reducing sediment envo 01000153,Environment_Medium_SD,biofilm,high,apply,safe
Isolation Site,soil from a ginseng field,Environment_Medium_SD,soil,high,apply,safe
Isolation Site,forest soil,Environment_Medium_SD,soil,high,apply,safe
Isolation Site,rice paddy soil,Environment_Medium_SD,soil,high,apply,safe
Environment (Local Scale),sediment enrichment,Environment_Medium_SD,sediment,high,apply,safe
Environment (Local Scale),rhizosphere of brassica napus var. huayouza 62 grown in a soil mix under controlled conditions,Environment_Medium_SD,soil,high,apply,safe
Isolation Site,sediment sample from salt lake,Environment_Medium_SD,sediment,high,apply,safe
Isolation Site,water sample from a subterranean saline lake on mallorca spain,Environment_Medium_SD,lake water,high,apply,safe
Environment (Local Scale),deep marine sediment,Environment_Medium_SD,sediment,high,apply,safe
Sample Type,low mineralized lake,Environment_Medium_SD,lake water,high,apply,safe
Isolation Source,chicken yard soil,Environment_Medium_SD,soil,high,apply,safe
Isolation Source,soil from chicken yard,Environment_Medium_SD,soil,high,apply,safe
Environment (Local Scale),flocculant sediment,Environment_Medium_SD,sediment,high,apply,safe
Environment (Local Scale),plant rhizosphere soil,Environment_Medium_SD,soil,high,apply,safe
Isolation Site,sediment sample,Environment_Medium_SD,sediment,high,apply,safe
Isolation Site,tidal flat sediment,Environment_Medium_SD,sediment,high,apply,safe
Environment (Local Scale),marine water,Environment_Medium_SD,seawater,high,apply,safe
Environment (Local Scale),anaerobic sludge,Environment_Medium_SD,sludge,high,apply,safe
Isolation Site,anaerobic activated sludge of molasses wastewater in a continuous stirred tank reactor,Environment_Medium_SD,sludge,high,apply,safe
Isolation Source,male patient with chronic granulomatous disease,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Host Disease,chronic granulomatous disease,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Environment (Local Scale),tidal flat sediment,Environment_Medium_SD,sediment,high,apply,safe
Environment (Local Scale),peaty bog soil,Environment_Medium_SD,soil,high,apply,safe
Isolation Source,sick organs of a dead chicken,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Isolation Source,poultry fresh feces,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,poultry food blood culture,Sample_Type_SD,blood,high,apply,safe
Isolation Source,poultry soil,Environment_Medium_SD,soil,high,apply,safe
Isolation Source,human blood,Sample_Type_SD,blood,high,apply,safe
Isolation Source,fecal samples from healthy people,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,patient s blood flow,Sample_Type_SD,blood,high,apply,safe
Isolation Source,food chicken feces,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,human feces,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,animal swine faeces,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,poultry fecal,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,fecal swabs of 21 day old healthy commercial broiler chickens,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,chicken disease,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Isolation Source,patient stool,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,human feces,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,stool sample from salmonellosis patient,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,animal chicken feces,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,stool sample from patient with gastroenteritis,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,diseased chicken,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Isolation Source,soil dust environment turkey dust,Environment_Medium_SD,soil,high,apply,safe
Isolation Source,soil dust environment poultry dust,Environment_Medium_SD,soil,high,apply,safe
Isolation Source,stool sample from patient,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,feces from chicken intestine,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,wild chicken feces,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,dried poultry blood,Sample_Type_SD,blood,high,apply,safe
Isolation Source,human faeces,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,feces feral swine,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,urine of the patient,Sample_Type_SD,urine,high,apply,safe
Isolation Source,feces of a female patient,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,vasculated blood of an human,Sample_Type_SD,blood,high,apply,safe
Isolation Source,healthy cattle milk,Host_Health_State_SD,healthy/no disease reported,medium,skip,confidence is not high
Isolation Source,ehxa deletion mutant derived from parent strain edl933 originally isolated from human feces,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,feces steer,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,chicken disposal area soil,Environment_Medium_SD,soil,high,apply,safe
Isolation Source,feces from pig,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,feces of patient with hemolytic uremic syndrome,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,poultry fecal material,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,feces of a male patient with diarrhea,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,feces of a female patient with diarrhea,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,milk from healthy cattle,Host_Health_State_SD,healthy/no disease reported,medium,skip,confidence is not high
Isolation Source,stool sample from male patient with ehec associated symptoms,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,stool sample from female patient with ehec symptoms,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,fecal sample of a patient suffering from bloody diarrhea and abdominal pain,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,stool sample from a 45 year old female patient suffering from diarrhea after traveling in tunisia,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,stool sample from a female patient suffering from hus,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,feces from chicken,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,stool sample from pediatric patient,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,stool of hus patient,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,feces turkey,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,urine sample from patient with prostitis,Sample_Type_SD,urine,high,apply,safe
Isolation Source,urine sample from patient with pyrexia of unknown origin,Sample_Type_SD,urine,high,apply,safe
Isolation Source,feces human,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,blood draw same patient as mb9267,Sample_Type_SD,blood,high,apply,safe
Isolation Source,sick cow 3,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Isolation Source,sick cow 1,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Isolation Source,feces young chicken,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,heifer feces,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,feces young turkey,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,chicken feces houseback,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,cow fecal manure,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,chicken house soil,Environment_Medium_SD,soil,high,apply,safe
Isolation Source,blood from a 79 year old female patient,Sample_Type_SD,blood,high,apply,safe
Isolation Source,lung from healthy pig in slaughterhouse,Host_Health_State_SD,healthy/no disease reported,medium,skip,confidence is not high
Isolation Source,healthy pig slaughterhouse,Host_Health_State_SD,healthy/no disease reported,medium,skip,confidence is not high
Isolation Source,healthy pig in slaughterhouse,Host_Health_State_SD,healthy/no disease reported,medium,skip,confidence is not high
Isolation Source,blood sample of a 1 year old pediatric pneumonia patient,Sample_Type_SD,blood,high,apply,safe
Isolation Source,saliva from clinically healthy pig,Host_Health_State_SD,healthy/no disease reported,medium,skip,confidence is not high
Isolation Source,blood culture of endocarditis patient,Sample_Type_SD,blood,high,apply,safe
Isolation Source,human blood patient with subacute bacterial endocarditis,Sample_Type_SD,blood,high,apply,safe
Isolation Source,human sputum pneumonia,Sample_Type_SD,sputum,high,apply,safe
Isolation Source,human urine cystitis,Sample_Type_SD,urine,high,apply,safe
Isolation Source,blood of patient with acute articular rheumatism,Sample_Type_SD,blood,high,apply,safe
Isolation Source,enrichment of guinea pig fecal samples,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,blood from a patient with infective endocarditis,Sample_Type_SD,blood,high,apply,safe
Isolation Source,blood culture of a patient with infective endocarditis,Sample_Type_SD,blood,high,apply,safe
Isolation Source,sputum from a patient with pneumoniae,Sample_Type_SD,sputum,high,apply,safe
Isolation Source,blood of a 58 year old endometrial cancer patient who had type 2 diabetes mellitus and relapsed after radiotherapy with multiple metastases to the lungs and abdominal cavity,Sample_Type_SD,blood,high,apply,safe
Isolation Source,female patient blood,Sample_Type_SD,blood,high,apply,safe
Environment (Broad Scale),faecal samples,Sample_Type_SD,feces/stool,high,apply,safe
Environment (Broad Scale),internal organ of diseased cage cultured atlantic salmon in chile,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Isolation Source,pig faecal sample,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,turkey faeces,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,chicken stool,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,turkey feces,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,healthy chicken,Host_Health_State_SD,healthy/no disease reported,medium,skip,confidence is not high
Isolation Source,wild pig fecal,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,stool specimen of one diarrheal patient,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,stool from diarrheal patient,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,blood culture from a patient in cape town south africa,Sample_Type_SD,blood,high,apply,safe
Isolation Source,swine stool,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,chicken feces,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,blood from cirrhosis patient,Sample_Type_SD,blood,high,apply,safe
Isolation Source,blood from diabetes hypertension patient,Sample_Type_SD,blood,high,apply,safe
Isolation Source,sputum from lung cancer patient,Sample_Type_SD,sputum,high,apply,safe
Isolation Source,human feces patient 2 outbreak technical replicate 4,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,human feces patient 2 outbreak technical replicate 3,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,human feces patient 2 outbreak technical replicate 1,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,human feces patient 2 outbreak technical replicate 2,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,human faeces of child with acute non specific diarrhea,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,sputum from patient with pneumonia,Sample_Type_SD,sputum,high,apply,safe
Isolation Source,blood from a patient with cardiovascular disease,Sample_Type_SD,blood,high,apply,safe
Isolation Source,blood from a patient with community acquired native valve endocarditis,Sample_Type_SD,blood,high,apply,safe
Isolation Source,endotracheal tube biofilm of a mechanically ventilated patient,Environment_Medium_SD,biofilm,high,apply,safe
Host Disease,associated with tsst 1 mediated disease,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Isolation Source,clean urine from a patient,Sample_Type_SD,urine,high,apply,safe
Isolation Source,chicken feces,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,patient s urine,Sample_Type_SD,urine,high,apply,safe
Isolation Source,blood from patient with community acquired emphysematous osteomyelitis,Sample_Type_SD,blood,high,apply,safe
Isolation Source,cancer patient stool,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,urine from hospitalized patient,Sample_Type_SD,urine,high,apply,safe
Isolation Source,hospital patients,Isolation_Source_SD,healthcare facility,high,apply,safe
Isolation Source,separated from patient s sputum,Sample_Type_SD,sputum,high,apply,safe
Isolation Source,venous blood of patient with cerebral hemorrhage,Sample_Type_SD,blood,high,apply,safe
Isolation Source,a blood sample of swine origin,Sample_Type_SD,blood,high,apply,safe
Isolation Source,sputum from patient from comprehensive intensive care,Sample_Type_SD,sputum,high,apply,safe
Isolation Source,sputum of human,Sample_Type_SD,sputum,high,apply,safe
Isolation Source,soil pig,Environment_Medium_SD,soil,high,apply,safe
Isolation Source,feces dry cow,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,feces milking cow,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,transfused patient s blood cultures,Sample_Type_SD,blood,high,apply,safe
Isolation Source,soil from pre fresh heifer pasture,Environment_Medium_SD,soil,high,apply,safe
Isolation Source,blood from human listeriosis case,Sample_Type_SD,blood,high,apply,safe
Isolation Source,human blood sporadic,Sample_Type_SD,blood,high,apply,safe
Isolation Source,human sputum chronic bronchitis,Sample_Type_SD,sputum,high,apply,safe
Isolation Source,blood from deceased american male teenager patient,Sample_Type_SD,blood,high,apply,safe
Isolation Source,enriched cattle feces,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,sputum cytobacteriological examinations of a same cf patient,Sample_Type_SD,sputum,high,apply,safe
Isolation Source,the sputum of a pneumonia patient,Sample_Type_SD,sputum,high,apply,safe
Isolation Source,sputum from copd patient,Sample_Type_SD,sputum,high,apply,safe
Isolation Source,sputum early isolate from vap patient 1,Sample_Type_SD,sputum,high,apply,safe
Isolation Source,sputum early isolate from vap patient 2,Sample_Type_SD,sputum,high,apply,safe
Isolation Source,sputum late isolate from vap patient 1,Sample_Type_SD,sputum,high,apply,safe
Isolation Source,sputum early isolate from vap patient 4,Sample_Type_SD,sputum,high,apply,safe
Isolation Source,sputum late isolate from vap patient 3,Sample_Type_SD,sputum,high,apply,safe
Isolation Source,sputum late isolate from vap patient 4,Sample_Type_SD,sputum,high,apply,safe
Isolation Source,sputum early isolate from vap patient 3,Sample_Type_SD,sputum,high,apply,safe
Isolation Source,sputum late isolate from vap patient 2,Sample_Type_SD,sputum,high,apply,safe
Isolation Source,duodenal mucosa of celiac disease patient with type 1 diabetes,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Isolation Source,blood culture of burn human patient,Sample_Type_SD,blood,high,apply,safe
Isolation Source,tissue of patient with lung disease,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Isolation Source,blood from septicemic patient,Sample_Type_SD,blood,high,apply,safe
Isolation Source,blood from a hospitalized oncology patient,Sample_Type_SD,blood,high,apply,safe
Isolation Source,sputum sample from patient with non cf bronchiectasis,Sample_Type_SD,sputum,high,apply,safe
Isolation Source,urine of adult cystic fibrosis patient,Sample_Type_SD,urine,high,apply,safe
Isolation Source,pneumonia patient sputum,Sample_Type_SD,sputum,high,apply,safe
Isolation Source,soil near cow with mastitis,Environment_Medium_SD,soil,high,apply,safe
Isolation Source,urine sample of infected patient showing resistance to majority of antibiotics,Sample_Type_SD,urine,high,apply,safe
Isolation Source,blood from cap patient,Sample_Type_SD,blood,high,apply,safe
Isolation Source,cow faeces organized dairy production system,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,blood sample from hospitalized patient 3,Sample_Type_SD,blood,high,apply,safe
Isolation Source,blood from hospitalized patient,Sample_Type_SD,blood,high,apply,safe
Isolation Source,fecal of pig,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,the feces of a colorectal cancer patient,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,human stool sample,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,feces of patient with dysentery,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,sheep fecal,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,healthy human volunteer,Host_Health_State_SD,healthy/no disease reported,medium,skip,confidence is not high
Isolation Source,feces of a hospitalized patient,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,dairy cattle fecal,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,blood of a hospitalized patient,Sample_Type_SD,blood,high,apply,safe
Isolation Source,patient s blood,Sample_Type_SD,blood,high,apply,safe
Isolation Source,homo sapiens blood sample,Sample_Type_SD,blood,high,apply,safe
Isolation Source,stool sample from patient with cholera,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,stool sample from a patient with cholera,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,cholera patient stool sample,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,stool sample from patient,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,stool of the patient,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,stool of patient with cholera,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,stool sample from a patient with diarrhea,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,stool from patient with antibiotic associated diarrhea,Sample_Type_SD,feces/stool,high,apply,safe
Sample Type,migs mims mimarks.air,Environment_Medium_SD,air,high,apply,safe
Host Disease,hiv end stage renal disease due to hiv nephropathy developed peritoneal dialysis associated peritonitis with candida parapsilosis.,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Isolation Source,poultry slaughterhouse wastewater,Environment_Medium_SD,wastewater,high,apply,safe
Isolation Source,cattle fecal,Sample_Type_SD,feces/stool,high,apply,safe
Sample Type,ad 250 c supragingival plaque biofilm,Environment_Medium_SD,biofilm,high,apply,safe
Environment Medium,stool samples,Sample_Type_SD,feces/stool,high,apply,safe
Environment (Local Scale),crude oil contaminated soil,Environment_Medium_SD,soil,high,apply,safe
Environment (Local Scale),municipal waste water inflow,Environment_Medium_SD,wastewater,high,apply,safe
Environment (Local Scale),municipal waste water outflow,Environment_Medium_SD,wastewater,high,apply,safe
Environment (Local Scale),irrigation well water contaminated with sewage water,Environment_Medium_SD,sewage,high,apply,safe
Host Disease,upper resiratory disease,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Host Disease,no known disease,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Host Disease,no known disease,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Host Disease,gastrointestinal system disease,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Isolation Source,healthy human fecal,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,sputum samples from patient with copd,Sample_Type_SD,sputum,high,apply,safe
Isolation Source,soil contaminated with killed cattle,Environment_Medium_SD,soil,high,apply,safe
Isolation Source,feces from healthy human,Sample_Type_SD,feces/stool,high,apply,safe
Sample Type,ileum of healthy chickens,Host_Health_State_SD,healthy/no disease reported,medium,skip,confidence is not high
Environment Medium,chicken faeces,Sample_Type_SD,feces/stool,high,apply,safe
Environment Medium,faecal sample,Sample_Type_SD,feces/stool,high,apply,safe
Environment (Broad Scale),blood,Sample_Type_SD,blood,high,apply,safe
Environment (Local Scale),indoor air,Environment_Medium_SD,air,high,apply,safe
Environment (Local Scale),soil sample from a temperate region with moderate rainfall,Environment_Medium_SD,soil,high,apply,safe
Environment (Local Scale),rhizosphere soil of soybean,Environment_Medium_SD,soil,high,apply,safe
Environment (Local Scale),isolated from a patient blood,Sample_Type_SD,blood,high,apply,safe
Environment (Local Scale),isolated from a patient bronchoalveolar lavage fluid,Sample_Type_SD,bronchoalveolar lavage fluid,high,apply,safe
Environment (Local Scale),plant rhizosphere,Environment_Medium_SD,soil,high,apply,safe
